feature,cohens_d,symmetric_auc,directional_auc,mann_whitney_p,abs_cohens_d
C4_mfcc1_mean,-0.37303087914773086,0.5990272347931392,0.40097276520686076,1.7402528180324541e-06,0.37303087914773086
CZ_alpha_peak_frequency,0.36580549918400607,0.6121082283563033,0.6121082283563033,6.18222118371748e-08,0.36580549918400607
CZ_mfcc4_mean,-0.3627444341994822,0.6047006015611631,0.39529939843883694,4.29477797869057e-07,0.3627444341994822
C3_spectral_centroid,-0.3577437309978271,0.6130197843857363,0.38698021561426366,4.839612930176963e-08,0.3577437309978271
CZ_low_gamma_power,-0.35239728708290885,0.6025549895352051,0.39744501046479486,7.35292394140301e-07,0.35239728708290885
C3_lziv,-0.3518290586022028,0.6031144282536298,0.39688557174637024,6.396880079753149e-07,0.3518290586022028
C3_beta_relative,-0.35141826944769944,0.6052337137516619,0.39476628624833815,3.751625191772302e-07,0.35141826944769944
C4_spectral_entropy,-0.35043389978691636,0.5950716739722781,0.40492832602772183,4.422623814826816e-06,0.35043389978691636
C4_theta_relative,-0.34518359864071285,0.6020152957127249,0.39798470428727506,8.404047748941873e-07,0.34518359864071285
C3_delta_power,0.34329473338546296,0.5920441232608037,0.5920441232608037,8.818848054816019e-06,0.34329473338546296
CZ-C4_correlation,0.33511403948952556,0.608215193039266,0.608215193039266,1.7405112134962578e-07,0.33511403948952556
C3_arburg3,-0.33285553651511296,0.6074056523055456,0.3925943476944544,2.1483447720918798e-07,0.33285553651511296
C3_arburg4,0.3305893524185518,0.6096039173873554,0.6096039173873554,1.2087587086571387e-07,0.3305893524185518
C4_spectral_centroid,-0.3264523223294313,0.6042793771143493,0.3957206228856507,4.776840962037025e-07,0.3264523223294313
C4_low_gamma_relative,-0.32340695725377244,0.6163369269043952,0.38366307309560477,1.939915846428816e-08,0.32340695725377244
CZ_beta_power,0.32055391182059817,0.6063789177164369,0.6063789177164369,2.799853052158046e-07,0.32055391182059817
C3_arburg2,0.3153892346452392,0.6018507549131883,0.6018507549131883,8.752324362901532e-07,0.3153892346452392
CZ_theta_relative,-0.31493800925642074,0.5998038673669523,0.4001961326330477,1.443070513684763e-06,0.31493800925642074
C3_permutation_entropy,-0.2855859037560595,0.5878779502165357,0.41212204978346434,2.2044510627770892e-05,0.2855859037560595
C4_beta_relative,-0.284479833696783,0.5910963682554726,0.4089036317445274,1.0899538584293166e-05,0.284479833696783
C3_kurtosis,-0.2766117637386135,0.5833168792533796,0.41668312074662034,5.749257496531732e-05,0.2766117637386135
C4_delta_power,0.2764282034316304,0.5664876462767708,0.5664876462767708,0.0013261596793700283,0.2764282034316304
C3_petrosian_fd,-0.27209099543376875,0.5861206544774842,0.41387934552251576,3.2067698226905957e-05,0.27209099543376875
CZ_delta_relative,0.2561626401138848,0.5686859113585805,0.5686859113585805,0.0009118421793322927,0.2561626401138848
C3_crest_factor,0.24693575189371053,0.5826323895273072,0.5826323895273072,6.612304143256596e-05,0.24693575189371053
C4_aperiodic_slope,-0.23823722686848262,0.5776830022772447,0.4223169977227553,0.00017624609171061625,0.23823722686848262
CZ_wavelet_d4_relative,-0.22952027505238085,0.6079782542879332,0.3920217457120668,1.851409904754415e-07,0.22952027505238085
C4_arburg1,-0.22689927507282429,0.5918730008292856,0.4081269991707144,9.164038353168798e-06,0.22689927507282429
C4_crest_factor,0.2259268349538775,0.5686200950387658,0.5686200950387658,0.0009222673636234598,0.2259268349538775
C3-CZ_alpha_coherence,0.22468021481952816,0.565263462728218,0.565263462728218,0.0016263061911547165,0.22468021481952816
CZ-C4_low_gamma_coherence,-0.2193265849513737,0.5559175453145362,0.44408245468546376,0.00693664004639306,0.2193265849513737
C3_wavelet_d4_relative,-0.21325110867842167,0.5827311140070291,0.41726888599297085,6.480671445822495e-05,0.21325110867842167
C3-CZ_alpha_plv,0.20689347305654124,0.5584251470994748,0.5584251470994748,0.0047881265132764675,0.20689347305654124
C3_theta_relative,-0.20358421169817298,0.5759125432742302,0.4240874567257697,0.00024700289176253336,0.20358421169817298
CZ_line_length,0.1979535571452319,0.5546143821822058,0.5546143821822058,0.008365604486714842,0.1979535571452319
C4_kurtosis,-0.1931768687152413,0.5573260145585699,0.4426739854414301,0.005642221556547877,0.1931768687152413
C4_delta_relative,0.18299379508878272,0.5495267806605326,0.5495267806605326,0.016789425928410668,0.18299379508878272
C4_spectral_edge_50,-0.1764783834250237,0.5506950203372428,0.4493049796627572,0.01437233355866931,0.1764783834250237
CZ_spectral_edge_50,-0.16929329889988734,0.5731186404980979,0.4268813595019021,0.00041448948250780653,0.16929329889988734
CZ_skew,0.1689062563279323,0.559149126617436,0.559149126617436,0.004291358239292562,0.1689062563279323
C3-CZ_low_gamma_coherence,-0.1629324072344869,0.5381471389645777,0.46185286103542234,0.06550286777726749,0.1629324072344869
C3_alpha_relative,0.15898168409077046,0.5338690781766247,0.5338690781766247,0.10199864778746183,0.15898168409077046
C4_permutation_entropy,-0.15866939008399283,0.5555687188195184,0.4444312811804816,0.007295899437754246,0.15866939008399283
CZ_kurtosis,0.15717600436380838,0.5187773960431229,0.5187773960431229,0.3646581364992124,0.15717600436380838
C4_petrosian_fd,-0.15617591208183132,0.5568488462399137,0.44315115376008635,0.0060539362784210555,0.15617591208183132
C4_skew,0.1524135262262657,0.5510668825441957,0.5510668825441957,0.013676407473914102,0.1524135262262657
C3-CZ_low_gamma_plv,-0.14533466625990882,0.5372586186470798,0.4627413813529202,0.07203331002867243,0.14533466625990882
C4_low_gamma_power,-0.1428275398493013,0.5520343824454712,0.44796561755452885,0.011992369725167653,0.1428275398493013
C3-C4_alpha_coherence,0.14012009564431974,0.5392528531374639,0.5392528531374639,0.05806578321027849,0.14012009564431974
C3_theta_power,0.13784851277622168,0.543234740486251,0.543234740486251,0.03684566783134918,0.13784851277622168
CZ_alpha_relative,0.1321672535551962,0.5240097934683885,0.5240097934683885,0.24638449168524124,0.1321672535551962
C3_delta_relative,0.12622042366781905,0.5333622925140518,0.5333622925140518,0.10722989269256605,0.12622042366781905
CZ-C4_low_gamma_plv,-0.1154228407275774,0.5347707617580855,0.4652292382419145,0.09319510652180832,0.1154228407275774
C4_alpha_power,0.11423197453740751,0.5548381576695758,0.5548381576695758,0.008102903433332783,0.11423197453740751
