dataset,subject,epoch,rating,laser_power,tsne_1,tsne_2,state,knn_predicted_state
ds005289,sub-020,5,7.82,3.5,59.564415,46.574257,4,4
ds005289,sub-020,6,8.19,3.5,47.20988,46.720142,4,4
ds005289,sub-020,7,4.8,3.5,-57.15612,31.745224,0,0
ds005289,sub-020,8,7.52,3.5,66.976845,39.97089,4,4
ds005289,sub-020,9,4.95,3.5,18.155813,27.457428,2,2
ds005289,sub-021,0,5.04,3.25,75.877075,16.836096,4,4
ds005289,sub-021,1,5.04,3.25,86.68441,0.18390986,4,4
ds005289,sub-021,2,3.99,3.25,74.06309,13.767381,4,4
ds005289,sub-021,3,2.99,3.25,57.84638,5.7888455,4,4
ds005289,sub-021,4,4.0,3.25,56.168873,6.828441,4,4
ds005289,sub-021,5,5.02,3.25,58.253002,35.365944,4,4
ds005289,sub-021,6,4.0,3.25,76.35834,14.370955,4,4
ds005289,sub-021,7,4.03,3.25,75.98109,16.821114,4,4
ds005289,sub-021,8,3.95,3.25,54.423824,21.964703,4,4
ds005289,sub-021,9,5.02,3.25,78.55347,13.679294,4,4
ds005289,sub-022,0,6.62,3.25,-11.396433,53.25856,2,2
ds005289,sub-022,1,9.27,3.25,57.727825,18.312346,4,4
ds005289,sub-022,2,9.95,3.25,61.29827,11.526257,4,4
ds005289,sub-022,3,8.0,3.25,60.69316,15.088044,4,4
ds005289,sub-022,4,8.68,3.25,62.115376,8.308115,4,4
ds005289,sub-022,5,4.58,3.25,64.47943,-19.250921,4,4
ds005289,sub-022,6,9.84,3.25,52.861507,-0.20724186,4,4
ds005289,sub-022,7,7.88,3.25,63.656902,-23.889599,4,4
ds005289,sub-022,8,5.08,3.25,48.022854,12.817878,4,4
ds005289,sub-022,9,4.13,3.25,10.52908,-38.458282,3,3
ds005289,sub-023,0,7.92,3.75,19.048025,30.511751,2,2
ds005289,sub-023,1,9.01,3.75,29.126263,49.754642,2,2
ds005289,sub-023,2,5.64,3.75,28.440435,54.951515,2,2
ds005289,sub-023,3,6.99,3.75,14.9402275,33.347492,2,2
ds005289,sub-023,4,9.56,3.75,32.326912,32.583065,2,2
ds005289,sub-023,5,7.52,3.75,22.590275,32.841625,2,2
ds005289,sub-023,6,8.09,3.75,58.752865,47.746227,4,4
ds005289,sub-023,7,7.86,3.75,19.655586,35.587875,2,2
ds005289,sub-023,8,8.03,3.75,3.7798893,45.536137,2,2
ds005289,sub-023,9,8.28,3.75,28.3374,56.29977,2,2
ds005289,sub-024,0,5.38,3.75,13.875414,22.423466,2,2
ds005289,sub-024,1,5.67,3.75,-2.7663448,56.924362,2,2
ds005289,sub-024,2,5.87,3.75,21.46361,37.371628,2,2
ds005289,sub-024,3,5.51,3.75,44.294334,11.118578,4,4
ds005289,sub-024,4,5.85,3.75,14.071315,20.756678,2,2
ds005289,sub-024,5,5.25,3.75,22.03608,36.359516,2,2
ds005289,sub-024,6,4.76,3.75,50.23977,24.111185,4,4
ds005289,sub-024,7,5.36,3.75,13.042743,54.636997,2,2
ds005289,sub-024,8,5.84,3.75,-31.259535,11.6396,0,0
ds005289,sub-024,9,6.05,3.75,22.065973,38.34455,2,2
ds005289,sub-025,0,7.56,3.5,47.597412,-10.766937,4,4
ds005289,sub-025,1,4.98,3.5,35.321537,34.9918,4,4
ds005289,sub-025,2,6.08,3.5,59.501152,20.015347,4,4
ds005289,sub-025,3,8.81,3.5,78.05109,19.3899,4,4
ds005289,sub-025,4,9.32,3.5,72.15434,1.395421,4,4
ds005289,sub-025,5,9.84,3.5,53.811115,32.780964,4,4
ds005289,sub-025,6,8.56,3.5,64.48023,10.319962,4,4
ds005289,sub-025,7,9.04,3.5,54.211,42.116493,4,4
ds005289,sub-025,8,9.13,3.5,50.511257,6.4491034,4,4
ds005289,sub-025,9,7.18,3.5,64.18485,14.524397,4,4
ds005289,sub-026,0,8.06,4.0,22.503193,-34.457237,3,3
ds005289,sub-026,1,6.98,4.0,19.689085,-31.821228,3,3
ds005289,sub-026,2,5.57,4.0,-46.675083,48.697136,0,0
ds005289,sub-026,3,9.04,4.0,44.63936,-7.1256895,4,4
ds005289,sub-026,4,9.9,4.0,50.084217,21.121689,4,4
ds005289,sub-026,5,3.9,4.0,-6.5564933,35.91709,2,2
ds005289,sub-026,6,4.44,4.0,28.614431,30.822807,2,2
ds005289,sub-026,7,8.61,4.0,10.865317,-32.025906,3,3
ds005289,sub-026,8,9.97,4.0,0.5320462,13.008673,2,2
ds005289,sub-027,0,3.82,4.25,83.27604,2.8448327,4,4
ds005289,sub-027,1,4.04,4.25,58.95053,16.15905,4,4
ds005289,sub-027,2,5.03,4.25,82.83576,3.2615747,4,4
ds005289,sub-027,3,5.47,4.25,80.69286,-8.115914,4,4
ds005289,sub-027,4,5.64,4.25,71.62724,-0.30088934,4,4
ds005289,sub-027,5,6.02,4.25,73.775444,2.6397495,4,4
ds005289,sub-027,6,6.23,4.25,63.88941,12.399761,4,4
ds005289,sub-027,7,6.27,4.25,58.975487,10.484323,4,4
ds005289,sub-027,8,6.69,4.25,58.274506,10.60088,4,4
ds005289,sub-027,9,6.85,4.25,65.34731,9.888241,4,4
ds005289,sub-028,0,4.98,2.75,34.34071,-0.88184804,3,3
ds005289,sub-028,1,6.01,2.75,26.03949,-12.003138,3,3
ds005289,sub-028,2,6.05,2.75,48.851986,9.8321,4,4
ds005289,sub-028,3,6.0,2.75,7.71254,5.974946,2,2
ds005289,sub-028,4,6.05,2.75,7.0193696,8.327218,2,2
ds005289,sub-028,5,5.97,2.75,2.8465676,15.169244,2,2
ds005289,sub-028,6,5.07,2.75,16.207851,-14.032307,3,3
ds005289,sub-028,7,5.07,2.75,-6.160905,-43.960175,1,1
ds005289,sub-028,8,7.03,2.75,22.736351,4.7126584,3,3
ds005289,sub-028,9,4.68,2.75,6.7398505,8.168754,2,2
ds005289,sub-029,0,5.28,3.5,-10.523561,55.618366,2,2
ds005289,sub-029,1,7.48,3.5,-42.154255,-15.376232,1,1
ds005289,sub-029,2,7.01,3.5,53.19044,35.632927,4,4
ds005289,sub-029,3,8.04,3.5,9.73652,-41.598183,3,3
ds005289,sub-029,4,7.03,3.5,-7.051691,-28.809296,1,1
ds005289,sub-029,5,6.5,3.5,68.62668,-19.560392,4,4
ds005289,sub-029,6,,3.5,52.042015,39.553455,4,4
ds005289,sub-030,0,5.57,3.75,60.87316,11.675672,4,4
ds005289,sub-030,1,5.01,3.75,-38.56695,-29.822157,1,1
ds005289,sub-030,2,6.05,3.75,27.451685,-8.888077,3,3
ds005289,sub-030,3,5.02,3.75,-38.33325,-29.314388,1,1
ds005289,sub-030,4,3.04,3.75,-57.371605,-5.9195557,0,0
ds005289,sub-030,5,6.04,3.75,-8.6207905,-4.0041804,3,3
ds005289,sub-030,6,7.06,3.75,12.441305,-2.3226833,3,3
ds005289,sub-031,0,7.02,3.0,-17.6857,53.27046,2,2
ds005289,sub-031,1,4.01,3.0,-23.421812,58.203945,2,2
ds005289,sub-031,2,7.01,3.0,78.92713,11.290954,4,4
ds005289,sub-031,3,6.04,3.0,23.658468,4.3879313,3,3
ds005289,sub-031,4,5.01,3.0,15.377146,18.393532,2,2
ds005289,sub-031,5,4.01,3.0,60.685074,15.154429,4,4
ds005289,sub-031,6,4.01,3.0,50.98563,-33.365124,3,3
ds005289,sub-031,7,6.02,3.0,-2.3368022,50.869297,2,2
ds005289,sub-031,8,5.04,3.0,55.65098,22.904676,4,4
ds005289,sub-031,9,6.01,3.0,42.193363,23.483656,4,4
ds005289,sub-032,0,8.96,3.75,20.536547,34.728165,2,2
ds005289,sub-032,1,9.91,3.75,49.258064,22.764338,4,4
ds005289,sub-032,2,4.72,3.75,12.036221,51.27664,2,2
ds005289,sub-032,3,5.11,3.75,53.656925,22.319868,4,4
ds005289,sub-032,4,4.5,3.75,48.728428,20.490215,4,4
ds005289,sub-032,5,6.02,3.75,48.66844,20.533886,4,4
ds005289,sub-032,6,7.38,3.75,48.32452,20.24608,4,4
